iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
PLW,Oceania,Palau,2022-10-22,5490.0,0.0,0.0,7.0,0.0,0.0,304593.875,0.0,0.0,388.371,0.0,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18024.0,,,,
PSE,Asia,Palestine,2022-10-22,702804.0,0.0,0.0,5707.0,0.0,0.0,136908.305,0.0,0.0,1111.741,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5133392.0,,,,
PAN,North America,Panama,2022-10-22,989005.0,725.0,103.571,8506.0,0.0,0.143,227291.269,166.618,23.803,1954.833,0.0,0.033,0.5,,,,,,,,,,,,,,,,,,8645001.0,3507326.0,3155231.0,1982444.0,,1611.0,198.68,80.6,72.51,45.56,370.0,266.0,0.006,,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4351267.0,,,,
PNG,Oceania,Papua New Guinea,2022-10-22,45328.0,0.0,18.429,668.0,0.0,0.0,4555.836,0.0,1.852,67.139,0.0,0.0,1.11,,,,,,,,,,,,,,,,,,676996.0,354597.0,294786.0,27613.0,,433.0,6.8,3.56,2.96,0.28,44.0,189.0,0.002,,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,9949437.0,,,,
PRY,South America,Paraguay,2022-10-22,717628.0,368.0,52.571,19598.0,0.0,0.286,107047.959,54.894,7.842,2923.417,0.0,0.043,0.68,,,,,,,,,,,,,,,,,,9407422.0,3965786.0,3516189.0,1925447.0,,1268.0,140.33,59.16,52.45,28.72,189.0,175.0,0.003,,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6703799.0,,,,
PER,South America,Peru,2022-10-22,4150737.0,291.0,268.857,216877.0,17.0,17.429,123110.749,8.631,7.974,6432.566,0.504,0.517,0.6,,,,,,,,,,,,,,,,,,84780770.0,29917169.0,28265366.0,26598235.0,6898.0,15191.0,251.46,88.73,83.84,78.89,451.0,1848.0,0.005,,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,33715472.0,186398.5,40.92,-4.65,5528.575
PHL,Asia,Philippines,2022-10-22,3993148.0,1707.0,1788.429,63742.0,36.0,37.857,35064.423,14.989,15.704,559.728,0.316,0.332,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,113880328.0,,,,
POL,Europe,Poland,2022-10-22,6334706.0,1115.0,1180.0,118029.0,14.0,18.429,165363.666,29.106,30.803,3081.076,0.365,0.481,0.67,,,,,,,,,,,,,,,,,,57241119.0,22796534.0,22569789.0,14705158.0,17949.0,16637.0,149.42,59.51,58.92,38.39,434.0,491.0,0.001,,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,38307726.0,,,,
PRT,Europe,Portugal,2022-10-22,5509424.0,0.0,0.0,25128.0,0.0,0.429,535409.995,0.0,0.0,2441.958,0.0,0.042,0.31,28.0,2.721,420.0,40.816,,,,,,,,,,,,,,25965516.0,9759414.0,8872516.0,6946291.0,,21856.0,252.33,94.84,86.22,67.5,2124.0,30.0,0.0,,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10290103.0,,,,
QAT,Asia,Qatar,2022-10-22,465130.0,310.0,594.286,684.0,0.0,0.286,173024.308,115.317,221.069,254.442,0.0,0.106,0.86,,,,,,,,,,,,,,,,,,7557802.0,2833550.0,2833549.0,1890703.0,,3826.0,281.14,105.41,105.41,70.33,1423.0,1592.0,0.059,,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2688235.0,,,,
ROU,Europe,Romania,2022-10-22,3283147.0,396.0,503.429,67161.0,0.0,6.0,169859.886,20.488,26.046,3474.703,0.0,0.31,0.76,100.0,5.174,1059.0,54.789,,,,,,,,,,,,,,,8183574.0,,,,,,42.34,,,,7055.0,0.037,,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19328560.0,,,,
RUS,Europe,Russia,2022-10-22,21060091.0,9241.0,10207.571,381582.0,88.0,90.286,145139.153,63.686,70.347,2629.736,0.606,0.622,0.62,,,,,,,9312.0,64.175,,,,,,,,,,179768583.0,85775952.0,77396701.0,18834724.0,257988.0,63524.0,123.89,59.11,53.34,12.98,438.0,40682.0,0.028,,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,145102755.0,,,,
RWA,Africa,Rwanda,2022-10-22,132533.0,0.0,1.0,1467.0,0.0,0.0,9845.053,0.0,0.074,108.974,0.0,0.0,0.94,,,,,,,,,,,,,,,,,,26106436.0,9177634.0,8954048.0,5562376.0,,0.0,193.93,68.17,66.51,41.32,0.0,216.0,0.002,,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13461888.0,,,,
SHN,Africa,Saint Helena,2022-10-22,2013.0,0.0,5.714,,,,372501.85,0.0,1057.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,,5404.0,,,,
KNA,North America,Saint Kitts and Nevis,2022-10-22,6548.0,0.0,0.143,46.0,0.0,0.0,137545.688,0.0,3.001,966.265,0.0,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47606.0,,,,
LCA,North America,Saint Lucia,2022-10-22,29550.0,0.0,0.0,405.0,0.0,0.0,164484.67,0.0,0.0,2254.358,0.0,0.0,0.31,,,,,,,,,,,,,,,,,,133286.0,65297.0,60129.0,7860.0,,1.0,74.19,36.35,33.47,4.38,6.0,152.0,0.085,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179652.0,,,,
SPM,North America,Saint Pierre and Miquelon,2022-10-22,3231.0,0.0,0.0,1.0,0.0,0.0,549209.587,0.0,0.0,169.981,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5883.0,,,,
VCT,North America,Saint Vincent and the Grenadines,2022-10-22,9452.0,0.0,0.286,116.0,0.0,0.0,90595.407,0.0,2.739,1111.835,0.0,0.0,0.09,,,,,,,,,,,,,,,,,,72875.0,37285.0,31406.0,4184.0,,4.0,69.85,35.74,30.1,4.01,38.0,1.0,0.001,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,104332.0,,,,
WSM,Oceania,Samoa,2022-10-22,15946.0,0.0,0.571,29.0,0.0,0.0,72891.335,0.0,2.612,132.563,0.0,0.0,0.09,,,,,,,,,,,,,,,,,,448674.0,191108.0,177605.0,78912.0,,57.0,205.09,87.36,81.19,36.07,261.0,3.0,0.001,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,218764.0,,,,
SMR,Europe,San Marino,2022-10-22,21452.0,0.0,29.571,119.0,0.0,0.143,635690.156,0.0,876.294,3526.344,0.0,4.233,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33746.0,,,,
STP,Africa,Sao Tome and Principe,2022-10-22,6263.0,0.0,1.571,77.0,0.0,0.0,28071.732,0.0,7.043,345.126,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,227603.0,127399.0,103440.0,32393.0,,6.0,102.02,57.1,46.36,14.52,27.0,2.0,0.001,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,223107.0,,,,
SAU,Asia,Saudi Arabia,2022-10-22,820156.0,129.0,223.429,9392.0,1.0,1.857,22813.546,3.588,6.215,261.249,0.028,0.052,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,35950396.0,,,,
OWID_SCT,Europe,Scotland,2022-10-17,,,,,,,,,,,,,,5.0,0.915,884.0,161.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
SEN,Africa,Senegal,2022-10-22,88630.0,0.0,10.714,1968.0,0.0,0.0,5251.613,0.0,0.635,116.61,0.0,0.0,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,16876720.0,,,,
SRB,Europe,Serbia,2022-10-22,2395887.0,903.0,1172.143,17176.0,5.0,6.857,348667.775,131.411,170.579,2499.583,0.728,0.998,0.79,31.0,4.511,415.0,60.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,,,,
SYC,Africa,Seychelles,2022-10-22,47141.0,0.0,0.0,170.0,0.0,0.143,442763.22,0.0,0.0,1596.694,0.0,1.342,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,106470.0,,,,
SLE,Africa,Sierra Leone,2022-10-22,7752.0,0.0,0.0,126.0,0.0,0.0,920.595,0.0,0.0,14.963,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8420641.0,,,,
SGP,Asia,Singapore,2022-10-22,2059709.0,6339.0,7689.286,1660.0,0.0,2.714,377678.781,1162.351,1409.947,304.386,0.0,0.498,1.23,,,,,23.0,4.217,1061.0,194.55,,,,,,,,,,14715892.0,5162406.0,5122594.0,4430892.0,1256.0,1189.0,269.84,94.66,93.93,81.25,218.0,94.0,0.002,,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5453600.0,,,,
SVK,Europe,Slovakia,2022-10-22,2640305.0,541.0,521.857,20551.0,8.0,6.286,484671.11,99.309,95.795,3772.472,1.469,1.154,0.82,45.0,8.26,784.0,143.916,,,395.0,72.53,,,,,,,,,,,,,,,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5447622.0,,,,
SVN,Europe,Slovenia,2022-10-22,1225251.0,1323.0,1440.714,6870.0,2.0,3.0,578109.474,624.23,679.771,3241.468,0.944,1.415,0.85,24.0,11.324,160.0,75.493,20.0,9.483,133.0,62.59,,,,,,,,,,,,,,,,,,,,,,,,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119410.0,,,,
SLB,Oceania,Solomon Islands,2022-10-22,21544.0,0.0,0.0,153.0,0.0,0.0,30435.784,0.0,0.0,216.147,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,542968.0,315000.0,209981.0,17987.0,,401.0,76.71,44.5,29.66,2.54,567.0,248.0,0.035,,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,707851.0,,,,
SOM,Africa,Somalia,2022-10-22,27225.0,0.0,0.286,1361.0,0.0,0.0,1595.316,0.0,0.017,79.751,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,7198588.0,6203372.0,5002737.0,,,109145.0,42.18,36.35,29.31,,6396.0,109145.0,0.64,,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17065581.0,,,,
ZAF,Africa,South Africa,2022-10-22,4025375.0,416.0,343.143,102257.0,11.0,1.571,67776.093,7.004,5.778,1721.723,0.185,0.026,1.18,,,,,,,,,,,,,,,,,,37750215.0,22374184.0,19447022.0,3775427.0,8798.0,5927.0,63.56,37.67,32.74,6.36,100.0,2496.0,0.004,,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59392255.0,,,,
OWID_SAM,,South America,2022-10-22,64187613.0,5992.0,10666.286,1331476.0,22.0,79.714,147912.493,13.808,24.579,3068.223,0.051,0.184,,,,,,,,,,,,,,,,,,,928664432.0,371999943.0,334493428.0,234094597.0,9948.0,29632.0,214.0,85.72,77.08,53.94,68.0,4003.0,0.001,,,,,,,,,,,,,,,,433956670.0,,,,
KOR,Asia,South Korea,2022-10-22,25297334.0,26256.0,25267.0,28990.0,16.0,21.429,488081.539,506.578,487.496,559.327,0.309,0.413,0.98,249.0,4.804,1200.0,23.153,175.0,3.376,768.0,14.818,,,,,,,,,,129433581.0,45118251.0,44686981.0,41145965.0,6657.0,5386.0,249.73,87.05,86.22,79.39,104.0,184.0,0.0,,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51830139.0,,,,
SSD,Africa,South Sudan,2022-10-22,17823.0,0.0,0.0,138.0,0.0,0.0,1658.22,0.0,0.0,12.839,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,2169761.0,2119471.0,2077492.0,,,3584.0,20.19,19.72,19.33,,333.0,3584.0,0.033,,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10748272.0,,,,
ESP,Europe,Spain,2022-10-22,13486386.0,23793.0,3399.0,114862.0,221.0,31.571,284002.031,501.043,71.578,2418.813,4.654,0.665,0.68,179.0,3.769,3119.0,65.681,161.0,3.39,2898.0,61.027,,,,,,,,,,95804542.0,41310693.0,40657640.0,26000111.0,,1025.0,201.75,86.99,85.62,54.75,22.0,170.0,0.0,,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47486935.0,,,,
LKA,Asia,Sri Lanka,2022-10-22,670989.0,12.0,10.143,16774.0,0.0,0.714,30816.856,0.551,0.466,770.388,0.0,0.033,0.89,,,,,,,,,,,,,,,,,,40008219.0,17132251.0,14693728.0,8182240.0,,512.0,183.75,78.68,67.48,37.58,24.0,59.0,0.0,,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21773441.0,,,,
SDN,Africa,Sudan,2022-10-22,63449.0,0.0,10.571,4965.0,0.0,0.286,1389.682,0.0,0.232,108.745,0.0,0.006,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,45657202.0,,,,
SUR,South America,Suriname,2022-10-22,81158.0,0.0,3.857,1386.0,0.0,0.143,132398.236,0.0,6.292,2261.07,0.0,0.233,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,612984.0,,,,
SWE,Europe,Sweden,2022-10-22,2608289.0,3423.0,489.0,20562.0,124.0,17.714,249189.341,327.025,46.718,1964.442,11.847,1.692,0.72,,,,,,,,,,,,,,,,,,24699097.0,7823429.0,7637403.0,7256846.0,,29193.0,235.97,74.74,72.97,69.33,2789.0,153.0,0.001,,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10467097.0,,,,
CHE,Europe,Switzerland,2022-10-22,4201711.0,37026.0,5289.429,14042.0,0.0,2.857,483432.83,4260.07,608.581,1615.619,0.0,0.329,-0.05,72.0,8.284,1430.0,164.53,,,188.0,21.631,,,,,,,,,,16135304.0,6093513.0,6009671.0,4146578.0,451.0,14637.0,185.65,70.11,69.14,47.71,1684.0,31.0,0.0,,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8691406.0,,,,
SYR,Asia,Syria,2022-10-22,57344.0,0.0,1.714,3163.0,0.0,0.0,2689.13,0.0,0.08,148.328,0.0,0.0,0.66,,,,,,,,,,,,,,,,,,4777586.0,3050850.0,2105113.0,75881.0,,2828.0,22.4,14.31,9.87,0.36,133.0,1464.0,0.007,,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,21324367.0,,,,
TWN,Asia,Taiwan,2022-10-22,7414829.0,35624.0,38915.857,12258.0,52.0,59.286,310765.144,1493.048,1631.014,513.749,2.179,2.485,1.0,,,,,,,,,,,,,,,,,,62799084.0,21761873.0,20447829.0,20589382.0,69558.0,56478.0,263.2,91.21,85.7,86.29,2367.0,1869.0,0.008,,,42.2,,8.353,,,103.957,,,,,,80.46,,23859912.0,,,,
TJK,Asia,Tajikistan,2022-10-22,17786.0,0.0,0.0,125.0,0.0,0.0,1824.193,0.0,0.0,12.82,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9750064.0,,,,
TZA,Africa,Tanzania,2022-10-22,39679.0,0.0,0.0,845.0,0.0,0.0,623.998,0.0,0.0,13.289,0.0,0.0,0.39,,,,,,,,,,,,,,,,,,28091873.0,23687636.0,21723603.0,,,134990.0,44.18,37.25,34.16,,2123.0,134908.0,0.212,,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,63588334.0,,,,
THA,Asia,Thailand,2022-10-22,4687281.0,0.0,0.0,32882.0,0.0,0.0,65463.81,0.0,0.0,459.239,0.0,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71601103.0,,,,
TLS,Asia,Timor,2022-10-22,23297.0,0.0,3.0,138.0,0.0,0.0,17636.656,0.0,2.271,104.471,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,1842717.0,857381.0,755292.0,230044.0,,796.0,139.5,64.91,57.18,17.42,603.0,140.0,0.011,,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1320942.0,,,,
TGO,Africa,Togo,2022-10-22,39278.0,3.0,5.0,289.0,0.0,0.286,4543.525,0.347,0.578,33.43,0.0,0.033,0.65,,,,,,,,,,,,,,,,,,3295699.0,2169182.0,1440469.0,134899.0,,189.0,38.12,25.09,16.66,1.56,22.0,69.0,0.001,,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8644829.0,,,,
TON,Oceania,Tonga,2022-10-22,16182.0,0.0,0.0,12.0,0.0,0.0,152635.898,0.0,0.0,113.189,0.0,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106017.0,,,,
TTO,North America,Trinidad and Tobago,2022-10-22,184524.0,263.0,100.0,4241.0,0.0,0.857,120946.762,172.384,65.545,2779.775,0.0,0.562,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1525663.0,,,,
TUN,Africa,Tunisia,2022-10-22,1146044.0,114.0,16.286,29257.0,0.0,0.429,93455.847,9.296,1.328,2385.805,0.0,0.035,1.04,,,,,,,,,,,,,,,,,,,,6383981.0,,,,,,52.06,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12262946.0,,,,
TUR,Asia,Turkey,2022-10-22,16919638.0,0.0,0.0,101203.0,0.0,0.0,199581.921,0.0,0.0,1193.778,0.0,0.0,0.21,,,,,,,,,,,,,,,,,,152437381.0,57934582.0,53169122.0,41333677.0,6064.0,4949.0,179.81,68.34,62.72,48.76,58.0,272.0,0.0,,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,84775404.0,,,,
TCA,North America,Turks and Caicos Islands,2022-10-22,6380.0,0.0,0.0,36.0,0.0,0.0,141419.515,0.0,0.0,797.978,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45114.0,,,,
TUV,Oceania,Tuvalu,2022-10-22,20.0,0.0,0.0,,,,1785.077,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11204.0,,,,
UGA,Africa,Uganda,2022-10-22,169396.0,0.0,0.0,3630.0,0.0,0.0,3694.265,0.0,0.0,79.165,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,25783131.0,18867075.0,12765601.0,431349.0,,27360.0,56.23,41.15,27.84,0.94,597.0,20307.0,0.044,,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,45853778.0,,,,
UKR,Europe,Ukraine,2022-10-22,5583518.0,107.0,14677.0,117686.0,2.0,89.0,128264.085,2.458,337.159,2703.472,0.046,2.045,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,43531422.0,,,,
ARE,Asia,United Arab Emirates,2022-10-22,1034784.0,322.0,323.143,2348.0,0.0,0.286,110493.122,34.383,34.505,250.717,0.0,0.031,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9365144.0,,,,
GBR,Europe,United Kingdom,2022-10-22,23855526.0,56729.0,8104.143,208497.0,549.0,78.429,354565.357,843.165,120.452,3098.897,8.16,1.166,0.48,,,12424.0,184.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,67281040.0,,,,
USA,North America,United States,2022-10-22,97190530.0,4971.0,36250.429,1067685.0,12.0,367.714,288401.232,14.751,107.569,3168.227,0.036,1.091,0.92,2703.0,8.021,21543.0,63.926,,,23101.0,68.549,,,,,,,,,,632905664.0,265591330.0,226594560.0,138164681.0,36647.0,394318.0,190.63,80.0,68.25,41.61,1188.0,37424.0,0.011,,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,336997624.0,,,,
OWID_UMC,,Upper middle income,2022-10-22,138649026.0,14775.0,23066.714,2496127.0,103.0,184.714,55427.951,5.907,9.221,997.881,0.041,0.074,,,,,,,,,,,,,,,,,,,5319492090.0,2094219743.0,1977086847.0,1216782914.0,281126.0,258570.0,212.66,83.72,79.04,48.64,103.0,263258.0,0.011,,,,,,,,,,,,,,,,2501427940.0,,,,
URY,South America,Uruguay,2022-10-22,988527.0,964.0,297.286,7510.0,0.0,1.286,288514.882,281.356,86.767,2191.894,0.0,0.375,0.94,,,,,,,,,,,,,,,,,,8742917.0,3001753.0,2893937.0,2847227.0,273.0,146.0,255.17,87.61,84.46,83.1,43.0,12.0,0.0,,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,3426260.0,,,,
UZB,Asia,Uzbekistan,2022-10-22,244450.0,0.0,9.714,1637.0,0.0,0.0,7172.524,0.0,0.285,48.032,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,69218586.0,21037140.0,17201955.0,14334007.0,,110984.0,203.1,61.73,50.47,42.06,3256.0,7856.0,0.023,,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,34081449.0,,,,
VUT,Oceania,Vanuatu,2022-10-22,11976.0,0.0,0.0,14.0,0.0,0.0,37526.321,0.0,0.0,43.868,0.0,0.0,0.08,,,,,,,,,,,,,,,,,,292146.0,144290.0,131300.0,16556.0,,35.0,91.54,45.21,41.14,5.19,110.0,15.0,0.005,,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,319136.0,,,,
VAT,Europe,Vatican,2022-10-22,29.0,0.0,0.0,,,,56751.468,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12,,511.0,,,,
VEN,South America,Venezuela,2022-10-22,545523.0,0.0,41.714,5820.0,0.0,0.0,19344.879,0.0,1.479,206.384,0.0,0.0,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28199866.0,,,,
VNM,Asia,Vietnam,2022-10-22,11496829.0,475.0,650.857,43159.0,0.0,0.571,117954.874,4.873,6.678,442.802,0.0,0.006,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,97468028.0,,,,
OWID_WLS,Europe,Wales,2022-10-18,,,,,,,,,,,,,,12.0,3.785,644.0,203.155,,,119.0,37.539,,,,,,,,,,,2588971.0,2461336.0,2075771.0,,,,81.67,77.64,65.48,,34.0,0.001,,,,,,,,,,,,,,,,3170000.0,,,,
WLF,Oceania,Wallis and Futuna,2022-10-22,761.0,0.0,0.0,7.0,0.0,0.0,65451.105,0.0,0.0,602.047,0.0,0.0,,,,,,,,,,,,,,,,,,,17959.0,7136.0,6794.0,3742.0,,168.0,154.46,61.37,58.43,32.18,14449.0,3.0,0.026,,,,,,,,,,,,,,79.94,,11627.0,,,,
OWID_WRL,,World,2022-10-22,627376575.0,181060.0,429567.143,6577749.0,498.0,1560.429,79321.427,22.892,54.312,831.648,0.063,0.197,1.0,,,,,,,,,,,,,,,,,,12858868434.0,5408947451.0,4981346709.0,2578768671.0,2746988.0,2663214.0,162.58,68.39,62.98,32.6,337.0,632497.0,0.008,,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7909295152.0,,,,
