iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
LBN,Asia,Lebanon,2022-10-22,1218082.0,78.0,154.714,10699.0,1.0,1.571,217801.246,13.947,27.664,1913.053,0.179,0.281,0.48,,,,,,,,,,,,,,,,,,5789338.0,2730630.0,2406354.0,652354.0,,456.0,103.52,48.83,43.03,11.66,82.0,140.0,0.003,,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5592631.0,,,,
LSO,Africa,Lesotho,2022-10-22,34490.0,0.0,0.0,706.0,0.0,0.0,15117.552,0.0,0.0,309.452,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2281454.0,,,,
LBR,Africa,Liberia,2022-10-22,7988.0,0.0,0.429,294.0,0.0,0.0,1538.101,0.0,0.083,56.61,0.0,0.0,0.31,,,,,,,,,,,,,,,,,,4061384.0,3634393.0,3437215.0,1987.0,,21231.0,78.2,69.98,66.18,0.04,4088.0,0.0,0.0,,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5193416.0,,,,
LBY,Africa,Libya,2022-10-22,507024.0,0.0,1.714,6437.0,0.0,0.0,75278.864,0.0,0.255,955.714,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6735277.0,,,,
LIE,Europe,Liechtenstein,2022-10-22,20509.0,0.0,26.286,86.0,0.0,0.0,525346.448,0.0,673.319,2202.925,0.0,0.0,1.03,,,,,,,2.0,51.21,,,,,,,,,,71959.0,26759.0,26451.0,19793.0,253.0,42.0,184.33,68.54,67.76,50.7,1076.0,0.0,0.0,,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39039.0,,,,
LTU,Europe,Lithuania,2022-10-22,1265081.0,479.0,520.857,9373.0,0.0,2.571,453978.988,171.891,186.912,3363.536,0.0,0.923,0.82,,,160.0,57.417,,,,,,,,,,,,,,4512655.0,1955674.0,1879199.0,940875.0,917.0,553.0,161.94,70.18,67.44,33.76,198.0,18.0,0.001,,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2786651.0,,,,
OWID_LIC,,Low income,2022-10-22,2248880.0,115.0,232.0,47660.0,0.0,2.0,3203.866,0.164,0.331,67.899,0.0,0.003,,,,,,,,,,,,,,,,,,,227893785.0,163284216.0,136792141.0,10232266.0,342081.0,110894.0,32.47,23.26,19.49,1.46,158.0,5902.0,0.001,,,,,,,,,,,,,,,,701926970.0,,,,
OWID_LMC,,Lower middle income,2022-10-22,96388584.0,7229.0,22481.143,1336694.0,67.0,165.429,28659.812,2.149,6.684,397.447,0.02,0.049,,,,,,,,,,,,,,,,,,,4649051505.0,2159040606.0,1937241019.0,605170017.0,1205878.0,1103207.0,138.23,64.2,57.6,17.99,328.0,285583.0,0.008,,,,,,,,,,,,,,,,3363196660.0,,,,
LUX,Europe,Luxembourg,2022-10-22,300099.0,384.0,334.571,1139.0,0.0,0.571,469402.694,600.637,523.323,1781.578,0.0,0.894,1.17,3.0,4.692,27.0,42.232,3.0,4.726,29.0,45.689,,,,,,,,,,,,462706.0,,,,,,72.37,,,,,,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,639321.0,,,,
MAC,Asia,Macao,2022-10-22,793.0,0.0,0.0,6.0,0.0,0.0,1154.955,0.0,0.0,8.739,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,686607.0,,,,
MDG,Africa,Madagascar,2022-10-22,66687.0,0.0,0.0,1410.0,0.0,0.0,2306.26,0.0,0.0,48.763,0.0,0.0,0.29,,,,,,,,,,,,,,,,,,1999667.0,1698424.0,1629830.0,238771.0,,7340.0,6.92,5.87,5.64,0.83,254.0,7005.0,0.024,,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,28915653.0,,,,
MWI,Africa,Malawi,2022-10-22,88073.0,8.0,2.286,2683.0,0.0,0.143,4428.061,0.402,0.115,134.894,0.0,0.007,0.84,,,,,,,,,,,,,,,,,,5619203.0,3748590.0,2949082.0,197226.0,,74568.0,28.25,18.85,14.83,0.99,3749.0,36906.0,0.186,,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,19889742.0,,,,
MYS,Asia,Malaysia,2022-10-22,4880005.0,2618.0,2075.0,36444.0,4.0,4.143,145351.263,77.977,61.804,1085.487,0.119,0.123,1.11,47.0,1.4,826.0,24.602,,,1611.0,47.984,,,,,,,,,,72170098.0,28107177.0,27516597.0,16764373.0,1637.0,1286.0,214.96,83.72,81.96,49.93,38.0,141.0,0.0,,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33573874.0,,,,
MDV,Asia,Maldives,2022-10-22,185194.0,0.0,9.857,308.0,0.0,0.0,355146.531,0.0,18.903,590.652,0.0,0.0,1.13,,,,,,,,,,,,,,,,,,951199.0,399126.0,385014.0,167059.0,,8.0,182.41,76.54,73.83,32.04,15.0,1.0,0.0,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,521458.0,,,,
MLI,Africa,Mali,2022-10-22,32715.0,0.0,1.286,742.0,0.0,0.0,1493.496,0.0,0.059,33.874,0.0,0.0,0.41,,,,,,,,,,,,,,,,,,3358891.0,2456492.0,1926865.0,,,24845.0,15.33,11.21,8.8,,1134.0,11820.0,0.054,,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,21904983.0,,,,
MLT,Europe,Malta,2022-10-22,115176.0,17.0,27.286,808.0,1.0,0.286,218654.841,32.273,51.8,1533.94,1.898,0.542,1.3,2.0,3.797,,,,,9.0,17.438,,,,,,,,,,1339233.0,478214.0,471038.0,424344.0,658.0,469.0,254.25,90.79,89.42,80.56,890.0,10.0,0.002,,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,526748.0,,,,
MHL,Oceania,Marshall Islands,2022-10-22,15389.0,0.0,2.0,17.0,0.0,0.0,365969.084,0.0,47.562,404.281,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,42050.0,,,,
MRT,Africa,Mauritania,2022-10-22,63250.0,0.0,23.714,997.0,0.0,0.286,13705.386,0.0,5.139,216.036,0.0,0.062,1.67,,,,,,,,,,,,,,,,,,3252274.0,2006570.0,1424954.0,294874.0,,0.0,70.47,43.48,30.88,6.39,0.0,46.0,0.001,,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4614974.0,,,,
MUS,Africa,Mauritius,2022-10-22,263780.0,603.0,86.143,1032.0,0.0,0.286,203077.184,464.234,66.319,794.509,0.0,0.22,0.4,,,,,,,,,,,,,,,,,,2609428.0,1039411.0,1002616.0,668100.0,,1775.0,200.89,80.02,77.19,51.44,1367.0,1248.0,0.096,,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1298915.0,,,,
MEX,North America,Mexico,2022-10-22,7106018.0,453.0,733.143,330320.0,15.0,9.429,56083.108,3.575,5.786,2606.998,0.118,0.074,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,126705138.0,,,,
FSM,Oceania,Micronesia (country),2022-10-22,21815.0,0.0,0.0,55.0,0.0,0.0,192829.552,0.0,0.0,486.162,0.0,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,113131.0,,,,
MDA,Europe,Moldova,2022-10-22,592535.0,623.0,89.0,11878.0,0.0,1.286,193543.635,203.495,29.071,3879.79,0.0,0.42,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3061506.0,,,,
MCO,Europe,Monaco,2022-10-22,14885.0,0.0,13.571,63.0,0.0,0.0,405740.609,0.0,369.935,1717.276,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19347.5,,,,,,,5.46,,,,13.8,86.75,,36686.0,,,,
