iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,rolling_immunity
BRA,South America,Brazil,2020-02-26,1.0,1.0,,,,,0.005,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-02-27,1.0,0.0,,,,,0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-02-28,1.0,0.0,,,,,0.005,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-02-29,2.0,1.0,,,,,0.009,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,7049.6,3.31,5.25,0.0
BRA,South America,Brazil,2020-03-01,2.0,0.0,,,,,0.009,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-02,2.0,0.0,0.286,,,0.0,0.009,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-03,2.0,0.0,0.286,,,0.0,0.009,0.0,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-04,4.0,2.0,0.429,,,0.0,0.019,0.009,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-05,4.0,0.0,0.429,,,0.0,0.019,0.0,0.002,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-06,13.0,9.0,1.714,,,0.0,0.061,0.042,0.008,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-07,13.0,0.0,1.571,,,0.0,0.061,0.0,0.007,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-08,20.0,7.0,2.571,,,0.0,0.093,0.033,0.012,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-09,25.0,5.0,3.286,,,0.0,0.117,0.023,0.015,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-10,31.0,6.0,4.143,,,0.0,0.145,0.028,0.019,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-11,38.0,7.0,4.857,,,0.0,0.178,0.033,0.023,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-12,52.0,14.0,6.857,,,0.0,0.243,0.065,0.032,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-13,151.0,99.0,19.714,,,0.0,0.706,0.463,0.092,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-14,151.0,0.0,19.714,,,0.0,0.706,0.0,0.092,,,0.0,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.13,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-15,162.0,11.0,20.286,,,0.0,0.757,0.051,0.095,,,0.0,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.13,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-16,200.0,38.0,25.0,,,0.0,0.935,0.178,0.117,,,0.0,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.13,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0
BRA,South America,Brazil,2020-03-17,321.0,121.0,41.429,1.0,1.0,0.143,1.5,0.565,0.194,0.005,0.005,0.001,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.87,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,4.673040422766976E-7
BRA,South America,Brazil,2020-03-18,372.0,51.0,47.714,3.0,2.0,0.429,1.738,0.238,0.223,0.014,0.009,0.002,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.65,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000001399315993261889
BRA,South America,Brazil,2020-03-19,621.0,249.0,81.286,6.0,3.0,0.857,2.902,1.164,0.38,0.028,0.014,0.004,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.00000279343971938737
BRA,South America,Brazil,2020-03-20,793.0,172.0,91.714,11.0,5.0,1.571,3.706,0.804,0.429,0.051,0.023,0.007,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000005114383129361635
BRA,South America,Brazil,2020-03-21,1021.0,228.0,124.286,15.0,4.0,2.143,4.771,1.065,0.581,0.07,0.019,0.01,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.0000069550418292181825
BRA,South America,Brazil,2020-03-22,1546.0,525.0,197.714,25.0,10.0,3.571,7.225,2.453,0.924,0.117,0.047,0.017,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000011589140248462099
BRA,South America,Brazil,2020-03-23,1924.0,378.0,246.286,34.0,9.0,4.857,8.991,1.766,1.151,0.159,0.042,0.023,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000015729973289747284
BRA,South America,Brazil,2020-03-24,2247.0,323.0,275.143,46.0,12.0,6.429,10.5,1.509,1.286,0.215,0.056,0.03,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000021249353255748725
BRA,South America,Brazil,2020-03-25,2554.0,307.0,311.714,59.0,13.0,8.0,11.935,1.435,1.457,0.276,0.061,0.037,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000027204883661208414
BRA,South America,Brazil,2020-03-26,2985.0,431.0,337.714,77.0,18.0,10.143,13.949,2.014,1.578,0.36,0.084,0.047,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000035463184541664945
BRA,South America,Brazil,2020-03-27,3417.0,432.0,374.857,92.0,15.0,11.571,15.968,2.019,1.752,0.43,0.07,0.054,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.00004227284289106371
BRA,South America,Brazil,2020-03-28,3904.0,487.0,411.857,111.0,19.0,13.714,18.244,2.276,1.925,0.519,0.089,0.064,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.000050912775406046205
BRA,South America,Brazil,2020-03-29,4256.0,352.0,387.143,136.0,25.0,15.857,19.888,1.645,1.809,0.636,0.117,0.074,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.00006230720563689301
BRA,South America,Brazil,2020-03-30,4579.0,323.0,379.286,159.0,23.0,17.857,21.398,1.509,1.772,0.743,0.107,0.083,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.00007270212444398132
BRA,South America,Brazil,2020-03-31,5717.0,1138.0,495.714,201.0,42.0,22.143,26.716,5.318,2.316,0.939,0.196,0.103,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,14401.0,4.42,6.52,0.00009191610898225823
BRA,South America,Brazil,2020-04-01,6836.0,1119.0,611.714,240.0,39.0,25.857,31.945,5.229,2.859,1.122,0.182,0.121,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.00010961914378384042
BRA,South America,Brazil,2020-04-02,8044.0,1208.0,722.714,324.0,84.0,35.286,37.59,5.645,3.377,1.514,0.393,0.165,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.00014824961127871413
BRA,South America,Brazil,2020-04-03,9056.0,1012.0,805.571,359.0,35.0,38.143,42.319,4.729,3.764,1.678,0.164,0.178,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,,,,0.00016376410548230047
