iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,link
OWID_AFR,,Africa,2023-04-12,13074358,0,81.714,258841,0,0.857,9163.82,0,0.057,181.422,0,0.001,,,,,,,,,,,,,,,,,,,800668233,520719047,431751164,85117012,40,40,56.12,36.5,30.26,5.97,0,7,0.0,,,,,,,,,,,,,,,,1426736614,,,,,<a href='#card=OWID_AFR'>Africa</a>
OWID_ASI,,Asia,2023-04-17,295846519,0,20616.429,1628478,0,68.571,62660.982,0,4.367,344.915,0,0.015,,,,,,,,,,,,,,,,,,,9003468005,3667527692,3437682248,1788437952,70519,58282,190.7,77.68,72.81,37.88,12,12982,0.0,,,,,,,,,,,,,,,,4721383370,,,,,<a href='#card=OWID_ASI'>Asia</a>
OWID_EUR,,Europe,2023-04-17,248182442,0,18924.286,2038559,0,86.143,333216.759,0,25.408,2737.027,0,0.116,,,,,,,,,,,,,,,,,,,1381128866,523095194,499470504,358176858,2772,2003,185.43,70.23,67.06,48.09,3,159,0.0,,,,,,,,,,,,,,,,744807803,,,,,<a href='#card=OWID_EUR'>Europe</a>
OWID_NAM,,North America,2023-04-17,123493229,0,1113.0,1592261,0,6.429,205711.082,0,1.854,2652.338,0,0.011,,,,,,,,,,,,,,,,,,,1147639504,458080929,394066825,251340507,13033,31121,191.17,76.31,65.64,41.87,52,6618,0.001,,,,,,,,,,,,,,,,600323657,,,,,<a href='#card=OWID_NAM'>North America</a>
OWID_OCE,,Oceania,2023-04-17,13860132,0,0.0,25926,0,0.0,307737.185,0,0.0,575.636,0,0.0,,,,,,,,,,,,,,,,,,,81002544,28962574,27968144,24024073,89,89,179.85,64.31,62.1,53.34,2,35,0.0,,,,,,,,,,,,,,,,45038860,,,,,<a href='#card=OWID_OCE'>Oceania</a>
OWID_SAM,,South America,2023-04-17,68328230,0,9971.714,1352942,0,58.714,156423.125,0,22.828,3097.276,0,0.134,,,,,,,,,,,,,,,,,,,955988042,375273678,336792269,253272579,22957,14445,218.85,85.91,77.1,57.98,33,867,0.0,,,,,,,,,,,,,,,,436816679,,,,,<a href='#card=OWID_SAM'>South America</a>
