iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
OWID_SAM,,South America,2021-09-27,37688012.0,21024.0,23707.714,1152285.0,441.0,731.0,86786.718,48.413,54.593,2653.444,1.016,1.683,,,,,,,,,,,,,,,,,,,431263964.0,264688581.0,171877448.0,3885760.0,1546331.0,2467015.0,99.31,60.95,39.58,0.89,5681.0,,434260138.0,,,,,,,,,,,,,,,,,
OWID_NAM,,North America,2021-09-27,51845757.0,215993.0,145828.429,1050476.0,2894.0,2813.857,86904.766,362.051,244.44,1760.826,4.851,4.717,,,,,,,,,,,,,,,,,,,611004804.0,341308668.0,278354305.0,3570044.0,870607.0,1778387.0,102.42,57.21,46.66,0.6,2981.0,,596581283.0,,,,,,,,,,,,,,,,,
OWID_EUR,,Europe,2021-09-27,59007830.0,115856.0,121471.143,1222260.0,2148.0,1846.0,78914.123,154.94,162.449,1634.589,2.873,2.469,,,,,,,,,,,,,,,,,,,790828854.0,420670774.0,386901415.0,3530964.0,499664.0,1353856.0,105.76,56.26,51.74,0.47,1811.0,,747747396.0,,,,,,,,,,,,,,,,,
OWID_ASI,,Asia,2021-09-27,75368334.0,124197.0,159561.143,1120081.0,2142.0,2192.714,16105.513,26.54,34.097,239.351,0.458,0.469,,,,,,,,,,,,,,,,,,,4126488680.0,2369617416.0,1665228481.0,15553097.0,13009234.0,18112899.0,88.18,50.64,35.58,0.33,3871.0,,4679660580.0,,,,,,,,,,,,,,,,,
OWID_AFR,,Africa,2021-09-27,8248063.0,9119.0,11292.429,209210.0,457.0,410.286,6005.201,6.639,8.222,152.32,0.333,0.299,,,,,,,,,,,,,,,,,,,140475784.0,88032064.0,57267227.0,,159599.0,912308.0,10.23,6.41,4.17,,664.0,,1373486472.0,,,,,,,,,,,,,,,,,
OWID_OCE,,Oceania,2021-09-27,175485.0,1942.0,1959.0,2103.0,13.0,17.0,4060.277,44.933,45.326,48.658,0.301,0.393,,,,,,,,,,,,,,,,,,,33796923.0,20565681.0,13231242.0,,448060.0,356777.0,78.2,47.58,30.61,,8255.0,,43219954.0,,,,,,,,,,,,,,,,,
